"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","0","Authentication","2","0","","0"
"0","UI","0","Search","2","0","","0"
"0","API","0","Login","4","0","","0"
"0","API","0","Search","4","0","","0"
"0","API","0","Products","2","0","","0"
"0","API","0","Account","2","0","","0"
"0","API","0","Brands","2","0","","0"
"0","E2E","0","API/UI cross-validation","1","0","","0"
"0","UI","0","Product details","1","0","","0"
"0","UI","0","Cart","2","0","","0"
"0","UI","0","Home","1","0","","0"
"0","E2E","0","Checkout","1","0","","0"
