"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","test_login_with_api_created_user","tests.ui","Wed Sep 23 22:38:14 UTC 2026","passed","Wed Sep 23 22:38:14 UTC 2026","","test_auth","",""
"","153","test_product_search_returns_results[Dress]","tests.ui","Wed Sep 23 22:38:15 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_search","",""
"","2","test_verify_login_without_email","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
"","2","test_delete_verify_login_not_supported","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
"","3","test_verify_login_with_invalid_credentials","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
"","3","test_search_product_returns_matches[tshirt]","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_search_api","",""
"","2","test_post_products_is_not_supported","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_products_api","",""
"","7","test_create_get_and_delete_user_account","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
"","3","test_search_product_without_parameter","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_search_api","",""
"","7","test_put_brands_is_not_supported","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_products_api","",""
"","153","test_login_with_invalid_password","tests.ui","Wed Sep 23 22:38:14 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_auth","",""
"","187","test_product_details_match_api_catalog","tests.e2e","Wed Sep 23 22:38:12 UTC 2026","passed","Wed Sep 23 22:38:13 UTC 2026","","test_api_ui_product_consistency","",""
"","73","test_product_details_show_name_and_price","tests.ui","Wed Sep 23 22:38:15 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_product_details","",""
"","212","test_add_product_from_catalog_to_cart","tests.ui","Wed Sep 23 22:38:15 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_cart","",""
"","223","test_add_product_with_quantity_from_details","tests.ui","Wed Sep 23 22:38:15 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_cart","",""
"","3","test_get_all_products_returns_catalog","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_products_api","",""
"","47","test_home_page_loads","tests.ui","Wed Sep 23 22:38:15 UTC 2026","passed","Wed Sep 23 22:38:15 UTC 2026","","test_home","",""
"","3","test_search_product_returns_matches[top]","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_search_api","",""
"","2","test_get_brands_list","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_products_api","",""
"","2","test_update_user_account","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
"","958","test_logged_in_user_can_place_an_order","tests.e2e","Wed Sep 23 22:38:13 UTC 2026","passed","Wed Sep 23 22:38:14 UTC 2026","","test_checkout_flow","",""
"","140","test_product_search_returns_results[Tshirt]","tests.ui","Wed Sep 23 22:38:16 UTC 2026","passed","Wed Sep 23 22:38:16 UTC 2026","","test_search","",""
"","2","test_search_product_returns_matches[jean]","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_search_api","",""
"","2","test_verify_login_with_valid_user","tests.api","Wed Sep 23 22:37:49 UTC 2026","passed","Wed Sep 23 22:37:49 UTC 2026","","test_account_api","",""
